,fig_num,quantity,name_mfig,num_parts_mfig,id,set_num,name_set,year,theme_id
0,fig-001549,1,"Emma - Lavender Top, Magenta Skirt",4,3,3931-1,Emma's Splash Pool,2012,494
1,fig-000764,1,Danny Longlegs / Corporal Steel,4,4,6942-1,Zo Weevil,1999,134
2,fig-000764,1,Danny Longlegs / Corporal Steel,4,14589,6943-1,Zo Weevil,1999,134
3,fig-000555,1,Coca-Cola Defender 2,4,19,4444-1,Coca-Cola Defender 2,2002,462
4,fig-000574,1,Minnie Mouse with Dark Pink with White Spots Dress and Bow (CMF),5,25,71012-11,Minnie Mouse,2016,555
5,fig-000842,1,"Coast Guard, Blue Jacket with Zipper and ID Badge, Blue Cap, Blue Sunglasses",4,26,6435-1,Coast Guard HQ,1999,94
6,fig-008641,1,"Coast Guard, Woman, Blue Jacket with Zipper and ID Badge. Black Hair",4,26,6435-1,Coast Guard HQ,1999,94
7,fig-008642,1,"Coast Guard, Woman, Blue Jacket with Zipper and ID Badge. Blue Cap, Yellow Life Vest",5,26,6435-1,Coast Guard HQ,1999,94
8,fig-008643,1,"Coast Guard, Blue Jacket with Zipper and ID Badge. White Helmet with Visor, Headset",5,26,6435-1,Coast Guard HQ,1999,94
9,fig-008644,1,"Coast Guard Diver, Blue Jacket with Zipper and ID Badge. White Helmet with Mask, Blue Sunglasses",6,26,6435-1,Coast Guard HQ,1999,94
10,fig-008645,1,"Coast Guard, Blue Jacket with Red Tie and ID Badge, Black Hair, Moustache",4,26,6435-1,Coast Guard HQ,1999,94
11,fig-000842,1,"Coast Guard, Blue Jacket with Zipper and ID Badge, Blue Cap, Blue Sunglasses",4,13862,6437-1,Beach Buggy,1999,106
12,fig-000359,1,Johnny Thunder (Desert),4,27,3055-1,Adventurers Car,1998,297
13,fig-000359,1,Johnny Thunder (Desert),4,1785,5956-1,Expedition Balloon,1999,299
14,fig-000195,1,Harry Cane,5,1785,5956-1,Expedition Balloon,1999,299
15,fig-000631,1,Dr. Charles Lightning,4,1785,5956-1,Expedition Balloon,1999,299
16,fig-000622,1,Max Villano with Backpack,5,1785,5956-1,Expedition Balloon,1999,299
17,fig-000359,1,Johnny Thunder (Desert),4,2129,5978-1,Sphinx Secret Surprise,1998,297
18,fig-000631,1,Dr. Charles Lightning,4,2129,5978-1,Sphinx Secret Surprise,1998,297
19,fig-000464,1,Lord Sam Sinister,4,2129,5978-1,Sphinx Secret Surprise,1998,297
20,fig-000526,1,Pharaoh Hotep,4,2129,5978-1,Sphinx Secret Surprise,1998,297
21,fig-000629,1,Baron Von Barron,5,2129,5978-1,Sphinx Secret Surprise,1998,297
22,fig-002226,1,Miss Gail Storm with Red Legs,4,2129,5978-1,Sphinx Secret Surprise,1998,297
23,fig-002232,1,Skeleton with Mummy Headdress,7,2129,5978-1,Sphinx Secret Surprise,1998,297
24,fig-000359,1,Johnny Thunder (Desert),4,2493,5903-1,Johnny Thunder and Baby T,2000,298
25,fig-000359,1,Johnny Thunder (Desert),4,3899,1182-1,Adventurers Raft,1999,297
26,fig-000359,1,Johnny Thunder (Desert),4,4663,5986-1,Amazon Ancient Ruins,1999,299
27,fig-002229,2,Skeleton (Standard) (3626b Head),6,4663,5986-1,Amazon Ancient Ruins,1999,299
28,fig-002224,1,Dr. Charles Lightning with Backpack,5,4663,5986-1,Amazon Ancient Ruins,1999,299
29,fig-001119,1,Achu,5,4663,5986-1,Amazon Ancient Ruins,1999,299
30,fig-002225,1,Miss Gail Storm,4,4663,5986-1,Amazon Ancient Ruins,1999,299
31,fig-002251,1,Señor (Senor) Palomar,4,4663,5986-1,Amazon Ancient Ruins,1999,299
32,fig-002252,1,Gabarros,5,4663,5986-1,Amazon Ancient Ruins,1999,299
33,fig-000359,1,Johnny Thunder (Desert),4,5995,5938-1,Oasis Ambush,1998,297
34,fig-000464,1,Lord Sam Sinister,4,5995,5938-1,Oasis Ambush,1998,297
