fig_num,quantity,name_mfig,num_parts_mfig,id,set_num,name_set,year,theme_id
fig-000782,3,LEGOLAND Black,4,10408,693-1,Fire Engine with Firemen,1975,417
fig-006461,1,"LEGOLAND Black Torso, Black Legs, Black Cowboy Hat",4,5760,365-1,Wild West Scene,1975,424
fig-000112,1,LEGOLAND Red with Black hat,4,6398,615-2,Fork Lift with Driver,1975,416
fig-006463,1,"LEGOLAND Blue Torso, Blue Legs, Blue Cowboy Hat",4,5760,365-1,Wild West Scene,1975,424
fig-006462,1,"LEGOLAND Female, Black Torso, Black Legs, White Hair",4,5760,365-1,Wild West Scene,1975,424
fig-000240,1,"LEGOLAND Red Torso, Blue Legs, Black Hat",4,5379,148-1,Central Station,1975,235
fig-000379,1,"LEGOLAND Blue Torso, Red Legs, Black Hat",4,5379,148-1,Central Station,1975,235
fig-004967,1,"LEGOLAND Female Blue Torso, White Legs",4,5379,148-1,Central Station,1975,235
fig-000236,2,"LEGOLAND Police - Black, White Hat, White Belt",5,335,659-1,Police Patrol with Policemen,1975,421
fig-006383,1,"LEGOLAND White Torso, Blue Legs, Black Hat",4,11884,364-1,Harbour Scene,1975,419
fig-006468,1,"LEGOLAND Female, Black Torso, White Legs, Red Hair",4,5760,365-1,Wild West Scene,1975,424
fig-006385,1,"LEGOLAND Blue Torso, Yellow Legs, Red Hat",4,11485,363-1,Hospital,1975,420
fig-006467,1,"LEGOLAND White Torso, Red Legs, Black Cowboy Hat",4,5760,365-1,Wild West Scene,1975,424
fig-006466,1,"LEGOLAND Red Torso, Blue Legs, White Cowboy Hat",4,5760,365-1,Wild West Scene,1975,424
fig-006465,1,"LEGOLAND Red Torso, Blue Legs, Blue Cowboy Hat",4,5760,365-1,Wild West Scene,1975,424
fig-006384,1,"LEGOLAND Female Blue, Red Hair",4,11485,363-1,Hospital,1975,420
fig-006381,1,"LEGOLAND Red Torso, Black Legs, Black Hat",4,11485,363-1,Hospital,1975,420
fig-004966,1,"LEGOLAND Female White Torso, White Legs",4,11485,363-1,Hospital,1975,420
fig-006464,1,"LEGOLAND Blue Torso, Yellow Legs, Red Cowboy Hat",4,5760,365-1,Wild West Scene,1975,424
fig-004968,1,"LEGOLAND Red Torso, Blue Legs, Red Hat",4,5379,148-1,Central Station,1975,235
fig-006382,1,"LEGOLAND Female Red Torso, Red Legs",4,11884,364-1,Harbour Scene,1975,419
fig-004696,3,LEGOLAND White,4,11485,363-1,Hospital,1975,420
fig-006380,2,LEGOLAND Black with White Hat,4,11884,364-1,Harbour Scene,1975,419
fig-000762,2,LEGOLAND Blue,4,1161,692-1,Road Repair Crew,1975,416
fig-006457,1,"LEGOLAND Blue Torso, Red Legs, Red Hat",4,14440,362-1,Windmill,1975,413
fig-006458,1,"LEGOLAND White Torso, Black Legs, Black Hat",4,7005,368-1,Taxi Garage,1976,413
fig-006390,1,"LEGOLAND Blue Torso, Black Legs, With Black Head, Red Bandana",5,1719,617-1,Cowboys,1976,424
fig-005135,3,"LEGOLAND Blue Torso, Black Legs, With Cowboy Head",4,1692,726-1,Western Train,1976,233
fig-006454,1,"LEGOLAND Female, White Torso, Yellow Legs, Red Hair",4,898,WEETABIX3-1,House,1976,413
fig-006455,1,"LEGOLAND White Torso, Black Legs, Red Hat",4,1073,WEETABIX2-1,Windmill,1976,413
fig-010632,2,LEGOLAND Blue with Black Hat,4,7919,1601-1,Conveyance,1976,416
fig-000239,3,"LEGOLAND Blue Torso, Black Legs, Red Hat",4,11939,149-1,Fuel Refinery,1976,235
fig-001361,1,"LEGOLAND White Torso, Black Legs, Red Hair",4,13813,WEETABIX4-1,House and Car,1976,413
fig-000237,2,"LEGOLAND Blue, White Hat",4,4475,912-1,Universal Building Set,1976,469
fig-000206,1,"LEGOLAND Blue Torso, Blue Legs, Blue Cowboy Hat",4,5332,697-1,Stagecoach,1976,424
fig-006456,1,"LEGOLAND White Torso, Black Legs, White Hat",4,1073,WEETABIX2-1,Windmill,1976,413
fig-004697,2,LEGOLAND Red,4,1137,911-1,Universal Building Set,1976,469
fig-006386,1,LEGOLAND Female Black,4,15265,696-1,Bus Stop,1976,423
fig-006387,1,"LEGOLAND Female Red Torso, Blue Legs",4,15265,696-1,Bus Stop,1976,423
fig-006388,1,"LEGOLAND Red Torso, Blue Legs, Blue Hat",4,15265,696-1,Bus Stop,1976,423
fig-006389,1,LEGOLAND Red with Blue Hat,4,15265,696-1,Bus Stop,1976,423
fig-006459,1,"LEGOLAND Female, White Torso, Red Legs, Black Hair",4,13146,664-1,TV Crew,1977,423
fig-000588,1,"LEGOLAND White Torso, Red Legs, Red Hat",4,741,619-1,Rally Car,1977,423
fig-000503,2,"LEGOLAND Red Torso, Red Legs, White Hat",4,11313,371-3,Seaplane,1977,412
fig-006460,1,"LEGOLAND Black Torso, Blue Legs, Black Cowboy Hat",4,13146,664-1,TV Crew,1977,423
fig-006469,1,"LEGOLAND Blue Torso, Blue Legs, White Cowboy Hat",4,5539,372-1,Texas Rangers,1977,424
fig-000501,1,LEGOLAND Red with White Cowboy Hat,4,1194,699-1,Photo Safari,1977,423
fig-006470,1,"LEGOLAND Red Torso, Blue Legs, Blue Cowboy Hat, Black Scarf",5,5539,372-1,Texas Rangers,1977,424
fig-006471,1,"LEGOLAND Blue Torso, Black Legs, Red Cowboy Hat, White Scarf",5,5539,372-1,Texas Rangers,1977,424
