,year,theme,count
0,1949,12V,0
1,1949,4 Juniors,0
2,1949,4.5V,0
3,1949,9V,0
4,1949,Action Wheelers,0
5,1949,Advent,0
6,1949,Adventurers,0
7,1949,Agents,0
8,1949,Airport,0
9,1949,Alien Conquest,0
10,1949,Alpha Team,0
11,1949,Angry Birds,0
12,1949,Aquanauts,0
13,1949,Aquaraiders I,0
14,1949,Aquaraiders II,0
15,1949,Aquasharks,0
16,1949,Aquazone,0
17,1949,Architecture,0
18,1949,Arctic,0
19,1949,Atlantis,0
20,1949,Avatar,0
21,1949,Avatar: The Last Airbender,0
22,1949,Avengers,0
23,1949,Basic,0
24,1949,Basic Model,0
25,1949,Basic Set,0
26,1949,Basketball,0
27,1949,Batman,0
28,1949,Belville,0
29,1949,Ben 10,0
30,1949,Bionicle,0
31,1949,Black Falcons,0
32,1949,Black Knights,0
33,1949,Blacktron I,0
34,1949,Blacktron II,0
35,1949,Boat,0
36,1949,Bob the Builder,0
37,1949,Books,0
38,1949,Brick Sketches,0
39,1949,BrickLink Designer Program,0
40,1949,Brickheadz,0
41,1949,Bricktober,0
42,1949,Building,0
43,1949,Building Set with People,0
44,1949,Bulk Bricks,0
45,1949,Cargo,0
46,1949,Cars,0
47,1949,Castle,0
48,1949,Chinese Traditional Festivals,0
49,1949,Christmas,0
50,1949,Cities of Wonders,0
51,1949,City,0
52,1949,City Center,0
53,1949,Classic,0
54,1949,Classic Basic,0
55,1949,Classic Castle,0
56,1949,Classic Space,0
57,1949,Classic Town,0
58,1949,Clikits,0
59,1949,Coast Guard,0
60,1949,Collectible Minifigures,0
61,1949,Competition,0
62,1949,Constraction,0
63,1949,Construction,0
64,1949,Control Lab,0
65,1949,Creator,0
66,1949,Creator 3-in-1,0
67,1949,Creator Expert,0
68,1949,Crusaders,0
69,1949,DC Comics,0
70,1949,DC Comics Super Heroes,0
71,1949,DC Super Hero Girls,0
72,1949,DC Super Heroes,0
73,1949,DFB Minifigures,0
74,1949,DOTS,0
75,1949,Dark Forest,0
76,1949,Desert,0
77,1949,Designer Sets,0
78,1949,Dimensions,0
79,1949,Dino,0
80,1949,Dino 2010,0
81,1949,Dino Attack,0
82,1949,Dino Island,0
83,1949,Dinosaurs,0
84,1949,Discovery,0
85,1949,Disney,0
86,1949,Disney Planes,0
87,1949,Disney Princess,0
88,1949,Disney Series 1,0
89,1949,Disney Series 2,0
90,1949,Disney's Mickey Mouse,0
91,1949,Divers,0
92,1949,Doc McStuffins,0
93,1949,Dolls,0
94,1949,Dora the Explorer,0
95,1949,Duplo,0
96,1949,Duplo and Explore,0
97,1949,EV3,0
98,1949,Early Creator,0
99,1949,Easter,0
100,1949,Educational and Dacta,0
101,1949,Elves,0
102,1949,Exo-Force,0
103,1949,Expert Builder,0
104,1949,Exploriens,0
105,1949,Extreme Team,0
106,1949,FIRST LEGO League,0
107,1949,Fabuland,0
108,1949,Factory,0
109,1949,Fantastic Beasts,0
110,1949,Fantasy Era,0
111,1949,Farm,0
112,1949,Ferrari,0
113,1949,Ferries,0
114,1949,Fire,0
115,1949,Forestmen,0
116,1949,Forma,0
117,1949,Freestyle,0
118,1949,Friends,0
119,1949,Fright Knights,0
120,1949,Frozen,0
121,1949,Fusion,0
122,1949,Futuron,0
123,1949,Galaxy Squad,0
124,1949,Galidor,0
125,1949,Games,0
126,1949,Gas Station,0
127,1949,Gear,0
128,1949,Gears,0
129,1949,Ghostbusters,0
130,1949,Gravity Games,0
131,1949,Guardians of the Galaxy,0
132,1949,HO 1:87 Vehicles,0
133,1949,Halloween,0
134,1949,Harbor,0
135,1949,Harry Potter,0
136,1949,Harry Potter and Fantastic Beasts Series 1,0
137,1949,Harry Potter and Fantastic Beasts Series 2,0
138,1949,Hero Factory,0
139,1949,Heroes,0
140,1949,Hidden Side,0
141,1949,Hobby Sets,0
142,1949,Hockey,0
143,1949,Homemaker,0
144,1949,Hospital,0
145,1949,Hydronauts,0
146,1949,Ice Planet 2002,0
147,1949,Icons,0
148,1949,Indiana Jones,0
149,1949,Insectoids,0
150,1949,Inventor,0
151,1949,Iron Man,0
152,1949,Island Xtreme Stunts,0
153,1949,Jack Stone,0
154,1949,Jake and the Never Land Pirates,0
155,1949,Jumbo Bricks,0
156,1949,Jungle,0
157,1949,Juniors,0
158,1949,Jurassic Park III,0
159,1949,Jurassic World,0
160,1949,Jurassic World: Fallen Kingdom,0
161,1949,Justice League,0
162,1949,Key Chain,0
163,1949,Kingdoms,0
164,1949,Knights Kingdom I,0
165,1949,Knights Kingdom II,0
166,1949,LEGO Art,0
167,1949,LEGO Brand Store,0
168,1949,LEGO Exclusive,0
169,1949,LEGO Ideas and CUUSOO,0
170,1949,LEGO Originals,0
171,1949,Launch Command,0
172,1949,Learning,0
173,1949,Legends of Chima,0
174,1949,Legoland,0
175,1949,Legoland Parks,0
176,1949,Legoville,0
177,1949,Life On Mars,0
178,1949,Lion Knights,0
179,1949,Little Forest Friends,0
180,1949,Little Robots,0
181,1949,Looney Tunes,0
182,1949,M:Tron,0
183,1949,Mars Exploration,0
184,1949,Mars Mission,0
185,1949,Marvel,0
186,1949,Marvel Super Heroes,0
187,1949,Master Builder Academy,0
188,1949,Miles From Tomorrowland,0
189,1949,Mindstorms,0
190,1949,Minecraft,0
191,1949,Mini,0
192,1949,Minions,0
193,1949,Minitalia,0
194,1949,Mission Deep Freeze,0
195,1949,Mission Deep Sea,0
196,1949,Mixels,0
197,1949,Model Team,0
198,1949,Modular Buildings,0
199,1949,Modulex,0
200,1949,Monkie Kid,0
201,1949,Monster Fighters,0
202,1949,Monthly Mini Model Build,0
203,1949,Mosaic,0
204,1949,My Town,0
205,1949,NXT,0
206,1949,Nexo Knights,0
207,1949,Ninja,0
208,1949,Ninjago,0
209,1949,Ninjago The Movie,0
210,1949,Off-Road,0
211,1949,Orient Expedition,0
212,1949,Other,0
213,1949,Outback,0
214,1949,Overwatch,0
215,1949,Paradisa,0
216,1949,Pharaoh's Quest,0
217,1949,Pick A Model,0
218,1949,Pirates,0
219,1949,Pirates I,0
220,1949,Pirates II,0
221,1949,Pirates III,0
222,1949,Pirates of the Caribbean,0
223,1949,Playhouse,0
224,1949,Playsets,0
225,1949,Police,0
226,1949,Power Functions,0
227,1949,Power Miners,0
228,1949,Powered Up,0
229,1949,Primo,0
230,1949,Prince of Persia,0
231,1949,Princess Castle,0
232,1949,Promotional,0
233,1949,Protectors,0
234,1949,Quatro,0
235,1949,RCX,0
236,1949,Race,0
237,1949,Racers,0
238,1949,Rattles,0
239,1949,Res-Q,0
240,1949,RoboForce,0
241,1949,RoboRiders,0
242,1949,Rock Raiders,0
243,1949,Royal Knights,0
244,1949,Samsonite,0
245,1949,Scala,0
246,1949,Scooby-Doo,0
247,1949,Sculptures,0
248,1949,Seasonal,0
249,1949,Series 1 Minifigures,0
250,1949,Series 10 Minifigures,0
251,1949,Series 11 Minifigures,0
252,1949,Series 12 Minifigures,0
253,1949,Series 13 Minifigures,0
254,1949,Series 14 Minifigures,0
255,1949,Series 15 Minifigures,0
256,1949,Series 16 Minifigures,0
257,1949,Series 17 Minifigures,0
258,1949,Series 18 Minifigures,0
259,1949,Series 19 Minifigures,0
260,1949,Series 2 Minifigures,0
261,1949,Series 20 Minifigures,0
262,1949,Series 21 Minifigures,0
263,1949,Series 22 Minifigures,0
264,1949,Series 23 Minifigures,0
265,1949,Series 3 Minifigures,0
266,1949,Series 4 Minifigures,0
267,1949,Series 5 Minifigures,0
268,1949,Series 6 Minifigures,0
269,1949,Series 7 Minifigures,0
270,1949,Series 8 Minifigures,0
271,1949,Series 9 Minifigures,0
272,1949,Service Packs,0
273,1949,Skylines,0
274,1949,Soccer,0
275,1949,Sofia the First,0
276,1949,Soft Bricks,0
277,1949,Space,0
278,1949,Space Police I,0
279,1949,Space Police II,0
280,1949,Space Police III,0
281,1949,Space Port,0
282,1949,Speed Champions,0
283,1949,Speed Racer,0
284,1949,Speed Slammers,0
285,1949,Speedorz,0
286,1949,Spider-Man,0
287,1949,Spiderman,0
288,1949,SpongeBob SquarePants,0
289,1949,Sports,0
290,1949,Spybotics,0
291,1949,Spyrius,0
292,1949,Star Wars,0
293,1949,Stingrays,0
294,1949,Stranger Things,0
295,1949,Studios,0
296,1949,Super Heroes DC,0
297,1949,Super Heroes Marvel,0
298,1949,Super Mario,0
299,1949,Superman,0
300,1949,Supplemental,2
301,1949,System,3
302,1949,Team GB,0
303,1949,Technic,0
304,1949,Teenage Mutant Ninja Turtles,0
305,1949,Thanksgiving,0
306,1949,The Hobbit,0
307,1949,The LEGO Batman Movie,0
308,1949,The LEGO Batman Movie Series 1,0
309,1949,The LEGO Batman Movie Series 2,0
310,1949,The LEGO Movie,0
311,1949,The LEGO Movie II,0
312,1949,The Lone Ranger,0
313,1949,The Lord of the Rings,0
314,1949,The Muppets,0
315,1949,The Powerpuff Girls,0
316,1949,The Simpsons Series 1,0
317,1949,The Simpsons Series 2,0
318,1949,Thomas & Friends,0
319,1949,Throwbot Slizer,0
320,1949,Time Cruisers,0
321,1949,Toolo,0
322,1949,Town,0
323,1949,Town Jr.,0
324,1949,Town Plan,0
325,1949,Toy Story,0
326,1949,Traffic,0
327,1949,Train,0
328,1949,Trains,0
329,1949,Trolls: World Tour,0
330,1949,UCS,0
331,1949,UFO,0
332,1949,Ultimate Collector Series,0
333,1949,Ultra Agents,0
334,1949,Unikitty!,0
335,1949,Unitron,0
336,1949,Universal Building Set,0
337,1949,Universe,0
338,1949,VIDIYO,0
339,1949,Valentine,0
340,1949,Value Packs,0
341,1949,Vehicle,0
342,1949,Vikings,0
343,1949,Villains,0
344,1949,WeDo,0
345,1949,Western,0
346,1949,Williams F1,0
347,1949,Winnie the Pooh,0
348,1949,Wolfpack,0
349,1949,World City,0
350,1949,World Racers,0
351,1949,X-Men,0
352,1949,X-Pod,0
353,1949,Xtra,0
354,1949,Znap,0
355,1949,Zooters,0
356,1949,eLAB,0
357,1950,12V,0
358,1950,4 Juniors,0
359,1950,4.5V,0
360,1950,9V,0
361,1950,Action Wheelers,0
362,1950,Advent,0
363,1950,Adventurers,0
364,1950,Agents,0
365,1950,Airport,0
366,1950,Alien Conquest,0
367,1950,Alpha Team,0
368,1950,Angry Birds,0
369,1950,Aquanauts,0
370,1950,Aquaraiders I,0
371,1950,Aquaraiders II,0
372,1950,Aquasharks,0
373,1950,Aquazone,0
374,1950,Architecture,0
375,1950,Arctic,0
376,1950,Atlantis,0
377,1950,Avatar,0
378,1950,Avatar: The Last Airbender,0
379,1950,Avengers,0
380,1950,Basic,0
381,1950,Basic Model,0
382,1950,Basic Set,0
383,1950,Basketball,0
384,1950,Batman,0
385,1950,Belville,0
386,1950,Ben 10,0
387,1950,Bionicle,0
388,1950,Black Falcons,0
389,1950,Black Knights,0
390,1950,Blacktron I,0
391,1950,Blacktron II,0
392,1950,Boat,0
393,1950,Bob the Builder,0
394,1950,Books,0
395,1950,Brick Sketches,0
396,1950,BrickLink Designer Program,0
397,1950,Brickheadz,0
398,1950,Bricktober,0
399,1950,Building,0
400,1950,Building Set with People,0
401,1950,Bulk Bricks,0
402,1950,Cargo,0
403,1950,Cars,0
404,1950,Castle,0
405,1950,Chinese Traditional Festivals,0
406,1950,Christmas,0
407,1950,Cities of Wonders,0
408,1950,City,0
409,1950,City Center,0
410,1950,Classic,0
411,1950,Classic Basic,0
412,1950,Classic Castle,0
413,1950,Classic Space,0
414,1950,Classic Town,0
415,1950,Clikits,0
416,1950,Coast Guard,0
417,1950,Collectible Minifigures,0
418,1950,Competition,0
419,1950,Constraction,0
420,1950,Construction,0
421,1950,Control Lab,0
422,1950,Creator,0
423,1950,Creator 3-in-1,0
424,1950,Creator Expert,0
425,1950,Crusaders,0
426,1950,DC Comics,0
427,1950,DC Comics Super Heroes,0
428,1950,DC Super Hero Girls,0
429,1950,DC Super Heroes,0
430,1950,DFB Minifigures,0
431,1950,DOTS,0
432,1950,Dark Forest,0
433,1950,Desert,0
434,1950,Designer Sets,0
435,1950,Dimensions,0
436,1950,Dino,0
437,1950,Dino 2010,0
438,1950,Dino Attack,0
439,1950,Dino Island,0
440,1950,Dinosaurs,0
441,1950,Discovery,0
442,1950,Disney,0
443,1950,Disney Planes,0
444,1950,Disney Princess,0
445,1950,Disney Series 1,0
446,1950,Disney Series 2,0
447,1950,Disney's Mickey Mouse,0
448,1950,Divers,0
449,1950,Doc McStuffins,0
450,1950,Dolls,0
451,1950,Dora the Explorer,0
452,1950,Duplo,0
453,1950,Duplo and Explore,0
454,1950,EV3,0
455,1950,Early Creator,0
456,1950,Easter,0
457,1950,Educational and Dacta,0
458,1950,Elves,0
459,1950,Exo-Force,0
460,1950,Expert Builder,0
461,1950,Exploriens,0
462,1950,Extreme Team,0
463,1950,FIRST LEGO League,0
464,1950,Fabuland,0
465,1950,Factory,0
466,1950,Fantastic Beasts,0
467,1950,Fantasy Era,0
468,1950,Farm,0
469,1950,Ferrari,0
470,1950,Ferries,0
471,1950,Fire,0
472,1950,Forestmen,0
473,1950,Forma,0
474,1950,Freestyle,0
475,1950,Friends,0
476,1950,Fright Knights,0
477,1950,Frozen,0
478,1950,Fusion,0
479,1950,Futuron,0
480,1950,Galaxy Squad,0
481,1950,Galidor,0
482,1950,Games,0
483,1950,Gas Station,0
484,1950,Gear,0
485,1950,Gears,0
486,1950,Ghostbusters,0
487,1950,Gravity Games,0
488,1950,Guardians of the Galaxy,0
489,1950,HO 1:87 Vehicles,0
490,1950,Halloween,0
491,1950,Harbor,0
492,1950,Harry Potter,0
493,1950,Harry Potter and Fantastic Beasts Series 1,0
494,1950,Harry Potter and Fantastic Beasts Series 2,0
495,1950,Hero Factory,0
496,1950,Heroes,0
497,1950,Hidden Side,0
498,1950,Hobby Sets,0
499,1950,Hockey,0
500,1950,Homemaker,0
501,1950,Hospital,0
502,1950,Hydronauts,0
503,1950,Ice Planet 2002,0
504,1950,Icons,0
505,1950,Indiana Jones,0
506,1950,Insectoids,0
507,1950,Inventor,0
508,1950,Iron Man,0
